bfvd_entry	accession	virus_taxid	virus_name	host_taxid	host_name	host_bucket
A0A8T8IX12_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8T8IX12	2829845	Escherichia phage vB_EcoM_SYGD1	511145	Escherichia coli str. K-12 substr. MG1655	bacteria
A0A8T8IXF7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8T8IXF7	2829846	Escherichia phage vB_EcoM_SYGMH1	562	Escherichia coli	bacteria
A0A8T8L5Z3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A8T8L5Z3	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L606_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8T8L606	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L630_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A8T8L630	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L631_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A8T8L631	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L632_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8T8L632	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L635_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A8T8L635	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L651_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	A0A8T8L651	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L676_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A8T8L676	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L677_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A8T8L677	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L692_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A8T8L692	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
A0A8T8L6A7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8T8L6A7	2811508	Escherichia phage UPEC03	562	Escherichia coli	bacteria
