31932	Archaea	Nitrosopumilales	cellular organisms;Archaea;Thermoproteati;Nitrososphaerota;Nitrososphaeria;Nitrosopumilales
1033996	Archaea	Nitrososphaerales	cellular organisms;Archaea;Thermoproteati;Nitrososphaerota;Nitrososphaeria;Nitrososphaerales
3373481	Archaea	Nitrosotaleales	cellular organisms;Archaea;Thermoproteati;Nitrososphaerota;Nitrososphaeria;Nitrosotaleales
3366643	Archaea	Promethearchaeales	cellular organisms;Archaea;Promethearchaeati;Promethearchaeota;Promethearchaeia;Promethearchaeales
2281	Archaea	Sulfolobales	cellular organisms;Archaea;Thermoproteati;Thermoproteota;Thermoprotei;Sulfolobales
3471629	Archaea	Tardisphaerales	cellular organisms;Archaea;Thermoproteati;Thermoproteota;Tardisphaeria;Tardisphaerales
2258	Archaea	Thermococcales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Thermococci;Thermococcales
2856582	Archaea	Thermofilales	cellular organisms;Archaea;Thermoproteati;Thermoproteota;Thermoprotei;Thermofilales
2301	Archaea	Thermoplasmatales	cellular organisms;Archaea;Methanobacteriati;Thermoplasmatota;Thermoplasmata;Thermoplasmatales
2266	Archaea	Thermoproteales	cellular organisms;Archaea;Thermoproteati;Thermoproteota;Thermoprotei;Thermoproteales
2109260	Bacteria	Abditibacteriales	cellular organisms;Bacteria;Pseudomonadati;Abditibacteriota;Abditibacteriia;Abditibacteriales
533206	Bacteria	Acanthopleuribacterales	cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Holophagae;Acanthopleuribacterales
3079744	Bacteria	Acaryochloridales	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Acaryochloridales
3120394	Bacteria	Acetivibrionales	cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Acetivibrionales
3120395	Bacteria	Acetobacterales	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales
186329	Bacteria	Acholeplasmatales	cellular organisms;Bacteria;Bacillati;Mycoplasmatota;Mollicutes;Acholeplasmatales
1843488	Bacteria	Acidaminococcales	cellular organisms;Bacteria;Bacillati;Bacillota;Negativicutes;Acidaminococcales
1692040	Bacteria	Acidiferrobacterales	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Acidiferrobacterales
84993	Bacteria	Acidimicrobiales	cellular organisms;Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales
225057	Bacteria	Acidithiobacillales	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Acidithiobacillia;Acidithiobacillales
1643683	Bacteria	Acidothermales	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Acidothermales
2037	Bacteria	Actinomycetales	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales
3712282	Bacteria	Actinopolaridales (SeqCode)	cellular organisms;Bacteria;Bacillati;Actinomycetota;Candidatus Aridivitia;Actinopolaridales (SeqCode)
622450	Bacteria	Actinopolysporales	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinopolysporales
3712281	Bacteria	Actinosomnolentales (SeqCode)	cellular organisms;Bacteria;Bacillati;Actinomycetota;Candidatus Aridivitia;Actinosomnolentales (SeqCode)
3079742	Bacteria	Aegeococcales	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Aegeococcales
135624	Bacteria	Aeromonadales	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Aeromonadales
3396146	Bacteria	Aerosakkonematales	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Aerosakkonematales
2806304	Bacteria	Aggregatilineales	cellular organisms;Bacteria;Bacillati;Chloroflexota;Anaerolineae;Aggregatilineales
3467296	Bacteria	Allobogoriellales	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Allobogoriellales
135622	Bacteria	Alteromonadales	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales
3120397	Bacteria	Ammonificales	cellular organisms;Bacteria;Bacteria incertae sedis;Desulfotomaculia;Ammonificales
292629	Bacteria	Anaerolineales	cellular organisms;Bacteria;Bacillati;Chloroflexota;Anaerolineae;Anaerolineales
3120398	Bacteria	Anaeromusales	cellular organisms;Bacteria;Bacillati;Bacillota;Negativicutes;Anaeromusales
186332	Bacteria	Anaeroplasmatales	cellular organisms;Bacteria;Bacillati;Mycoplasmatota;Mollicutes;Anaeroplasmatales
2997383	Bacteria	Anaerosomatales	cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Anaerosomatales
32069	Bacteria	Aquificales	cellular organisms;Bacteria;Pseudomonadati;Aquificota;Aquificia;Aquificales
1382929	Bacteria	Ardenticatenales	cellular organisms;Bacteria;Bacillati;Chloroflexota;Ardenticatenia;Ardenticatenales
1617890	Bacteria	Arenicellales	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Arenicellales
1042313	Bacteria	Armatimonadales	cellular organisms;Bacteria;Bacillati;Armatimonadota;Armatimonadia;Armatimonadales
